TIMESTAMP,TEMPERATURE,DUST,HUMIDITY,PRESSURE
1576728000803,23.6,47,42,997
1576731600583,23.6,47,42,997
1576735201111,23.6,39,41,997
1576738800868,23.6,40,42,997
1576742401224,23.7,43,42,998
1576746000766,23.8,39,42,998
1576749600582,23.9,34,42,997
1576753200977,23.9,47,48,997
1576756800807,23.9,38,50,996
1576760400547,23.6,32,49,996
1576764001067,23.5,33,48,995
1576767600856,23.5,31,47,995
1576771201077,23.6,33,46,994
1576774800681,23.6,33,47,994
1576778400705,23.6,39,46,993
1576782000756,23.6,46,47,993
1576785600526,23.6,44,47,993
1576789200726,23.5,44,46,992
1576792800517,23.6,50,45,991
1576796401039,23.5,52,44,990
1576800000896,23.5,49,43,990
1576803601264,23.5,47,43,989
1576807200623,23.5,43,43,988
1576810800633,23.5,37,43,986
1576814400751,23.5,30,43,986
1576818000438,23.5,27,42,985
1576821600521,23.5,23,44,984
1576825200876,23.5,22,44,984
1576828801015,23.6,17,45,984
1576832401068,23.6,15,43,983
1576836001061,23.7,10,43,982
1576839601638,23.7,10,44,980
1576843200564,23.7,7,43,978
1576846800777,23.8,4,43,977
1576850400752,23.8,5,44,977
1576854000547,23.7,6,44,976
1576857600544,23.7,6,45,976
1576861201266,23.8,12,45,975
1576864800911,23.7,11,44,974
1576868401583,23.7,19,45,973
1576872001521,23.8,26,48,973
1576875600594,23.9,23,48,972
1576879268695,23.7,24,47,971
1576882800548,23.7,20,46,970
1576886428575,23.7,17,46,970
1576890001501,23.7,13,46,970
1576893600691,23.7,10,46,970
1576897200910,23.7,7,45,969
1576900801000,23.7,4,45,969
1576904400635,23.7,4,45,969
1576908001608,23.7,3,45,970
1576911600672,23.8,7,48,970
1576915200836,23.9,6,53,970
1576918800862,23.9,3,49,970
1576922400885,24,7,47,971
1576926001050,23.7,49,45,971
1576929600961,23.6,5,37,971
1576933200958,22.9,8,37,970
1576936800686,21.8,7,42,970
1576940400893,21,12,45,970
1576944000956,20.9,17,52,969
1576947601161,23.3,13,49,969
1576951200863,23.5,21,51,968
1576954800973,23.5,26,50,967
1576958400678,23.5,25,50,966
1576962001345,23.5,24,50,965
1576965601057,23.5,20,50,964
1576969200531,23.3,19,52,963
1576972800678,23.3,20,50,962
1576976401060,23.2,16,48,962
1576980000912,23.1,13,48,962
1576983600789,23.1,16,47,962
1576987200530,23.1,13,47,961
1576990800706,23,16,46,962
1576994401408,23.1,16,46,962
1576998000962,23.1,15,46,963
1577001600746,23.1,11,45,964
1577005200553,23.2,9,45,965
1577008800540,23.3,9,51,965
1577012400797,23.5,10,55,964
1577016001295,23.7,10,63,965
1577019601520,23.6,8,63,964
1577023201195,23.5,10,62,965
1577026800847,23.4,7,57,965
1577030400854,23.5,7,56,965
1577034000964,23.5,10,55,965
1577037600980,23.3,12,54,966
1577041201109,23.3,14,53,966
1577044800931,23.4,18,54,966
1577048400713,23.4,20,53,966
1577052000589,23.3,26,53,966
1577055600399,23.2,32,52,966
1577059201266,23.1,35,51,966
1577062800741,23.2,32,51,966
1577066400761,23.2,28,51,966
1577070000961,23.2,33,50,967
